onset	duration
7.5	1
12	1
15	1
19.5	1
25.5	1
28.5	1
31.5	1
36	1
42	1
45	1
49.5	1
52.5	1
55.5	1
58.5	1
63	1
67.5	1
72	1
75	1
78	1
81	1
84	1
87.1	1
93	1
97.5	1
102	1
105	1
108	1
111	1
117	1
120	1
124.5	1
129	1
133.5	1
138	1
142.5	1
147	1
153	1
157.5	1
160.5	1
163.5	1
169.5	1
174	1
177	1
180	1
183	1
189	1
195	1
198	1
204	1
207	1
210	1
214.5	1
217.5	1
220.5	1
226.5	1
231	1
235.5	1
240	1
244.5	1
250.5	1
253.5	1
256.5	1
259.5	1
262.5	1
265.5	1
271.5	1
277.5	1
282	1
286.5	1
291	1
295.5	1
300	1
303	1
309	1
313.5	1
319.5	1
324	1
330	1
334.5	1
339	1
342	1
346.5	1
351	1
357	1
