onset	duration
7.5	1
12	1
15	1
18	1
21	1
25.5	1
28.5	1
31.5	1
34.5	1
37.5	1
42	1
48	1
54	1
58.5	1
61.5	1
64.5	1
67.5	1
72	1
75	1
78	1
82.5	1
87	1
90	1
96	1
100.5	1
105	1
108	1
112.5	1
115.5	1
118.5	1
124.5	1
129	1
132	1
136.5	1
139.5	1
142.5	1
147	1
151.5	1
157.5	1
162	1
168	1
171	1
174	1
180	1
184.5	1
187.5	1
192	1
198	1
204	1
207	1
210	1
213	1
217.5	1
222	1
228	1
234	1
238.5	1
243	1
246	1
249	1
253.5	1
256.5	1
262.5	1
267	1
271.5	1
276	1
280.5	1
285	1
291	1
294	1
298.5	1
304.5	1
307.5	1
313.5	1
318	1
322.5	1
325.5	1
330	1
334.5	1
339	1
342	1
345	1
351	1
357	1
