onset	 duration
7.5	1
12	1
16.5	1
22.5	1
28.5	1
34.5	1
40.5	1
46.5	1
51	1
57	1
60	1
63	1
67.5	1
72	1
76.5	1
79.5	1
82.5	1
85.5	1
90	1
94.5	1
99	1
102	1
108	1
111	1
117	1
121.5	1
124.5	1
130.5	1
133.5	1
136.5	1
141	1
144	1
150	1
154.5	1
157.5	1
162	1
168	1
172.5	1
177	1
181.5	1
184.5	1
187.5	1
192	1
195	1
198	1
201	1
204	1
207	1
213	1
216	1
220.5	1
223.5	1
226.5	1
229.5	1
234	1
238.5	1
244.5	1
247.5	1
252	1
255	1
258	1
262.5	1
265.5	1
268.5	1
271.5	1
276	1
280.5	1
283.5	1
288	1
291	1
294	1
298.5	1
303	1
307.5	1
313.5	1
318	1
322.5	1
328.5	1
333	1
339	1
345	1
351	1
354	1
358.5	1
