onset	duration
7.5	1
12	1
16.5	1
22.5	1
25.5	1
28.5	1
34.5	1
39	1
42	1
48	1
52.5	1
55.5	1
58.5	1
63	1
69	1
72	1
76.5	1
79.5	1
82.5	1
85.5	1
91.5	1
94.5	1
100.5	1
103.5	1
106.5	1
109.5	1
115.5	1
120	1
123	1
127.5	1
130.5	1
133.5	1
138	1
144	1
148.5	1
153	1
156	1
159	1
162	1
166.5	1
169.5	1
174	1
177	1
181.5	1
187.5	1
190.5	1
195	1
199.5	1
205.5	1
208.5	1
213	1
217.5	1
222	1
226.5	1
231	1
235.5	1
240	1
246	1
249	1
253.5	1
258	1
264	1
268.5	1
271.5	1
276	1
280.5	1
283.5	1
286.5	1
292.5	1
295.5	1
301.5	1
307.5	1
310.5	1
315	1
321	1
324	1
327	1
333	1
337.5	1
342	1
345	1
348	1
354	1
358.5	1
