onset	 duration
7.5	1
10.5	1
13.5	1
16.5	1
21	1
25.5	1
28.5	1
31.5	1
36	1
42	1
45	1
49.5	1
52.5	1
58.5	1
61.5	1
64.5	1
67.5	1
70.5	1
73.5	1
78	1
81	1
87	1
90	1
96	1
102	1
105	1
111	1
114	1
120	1
124.5	1
129	1
135	1
138	1
144	1
148.5	1
153	1
156	1
162	1
166.5	1
171	1
177	1
181.5	1
187.5	1
192	1
196.5	1
199.5	1
204	1
208.5	1
211.5	1
214.5	1
220.5	1
225	1
229.5	1
234	1
237	1
243	1
246	1
250.5	1
255	1
259.5	1
262.5	1
265.5	1
270	1
276	1
282	1
286.5	1
291	1
295.5	1
298.5	1
303	1
307.5	1
310.5	1
315	1
318	1
324	1
328.5	1
333	1
336	1
340.5	1
343.5	1
349.5	1
352.5	1
355.5	1
360	1
