onset	 duration
7.5	1
10.5	1
15	1
19.5	1
25.5	1
28.5	1
31.5	1
34.5	1
37.5	1
40.5	1
45	1
49.5	1
54	1
58.5	1
64.5	1
69	1
73.5	1
78	1
84	1
88.5	1
93	1
97.5	1
102	1
105	1
111	1
117	1
120	1
124.5	1
127.5	1
132	1
138	1
141	1
147	1
151.5	1
156	1
160.5	1
163.5	1
166.5	1
169.5	1
172.5	1
178.5	1
184.5	1
187.5	1
193.5	1
196.5	1
201	1
205.5	1
210	1
214.5	1
219	1
225	1
228	1
234	1
240	1
243	1
246	1
250.5	1
256.5	1
259.5	1
262.5	1
267	1
271.5	1
277.5	1
283.5	1
286.5	1
291	1
294	1
297	1
301.5	1
304.5	1
307.5	1
313.5	1
318	1
321	1
324	1
327	1
330	1
334.5	1
337.5	1
340.5	1
345	1
348	1
352.5	1
358.5	1
