onset	duration
7.5	1
13.5	1
19.5	1
22.5	1
25.5	1
28.5	1
33	1
36	1
39	1
42	1
46.5	1
52.5	1
55.5	1
60	1
66	1
72	1
76.5	1
81	1
87	1
93	1
97.5	1
100.5	1
105	1
108	1
112.5	1
118.5	1
124.5	1
129	1
132	1
135	1
138	1
142.5	1
148.5	1
151.5	1
157.5	1
163.5	1
168	1
172.5	1
177	1
181.5	1
187.5	1
192	1
196.5	1
199.5	1
202.5	1
205.5	1
208.5	1
211.5	1
217.5	1
222	1
225	1
229.5	1
235.5	1
240	1
243	1
246	1
250.5	1
253.5	1
259.5	1
262.5	1
267	1
273	1
277.5	1
280.5	1
285	1
288	1
294	1
297	1
301.5	1
306	1
310.5	1
315	1
319.5	1
322.5	1
325.5	1
328.5	1
333	1
337.5	1
340.5	1
343.5	1
348	1
351	1
355.5	1
358.5	1
