onset	 duration
7.5	1
12	1
16.5	1
21	1
24	1
27	1
31.5	1
37.5	1
40.5	1
43.5	1
48	1
51	1
54	1
58.5	1
63	1
66	1
72	1
78	1
82.5	1
85.5	1
88.5	1
91.5	1
94.5	1
100.5	1
103.5	1
106.5	1
109.5	1
114	1
118.5	1
121.5	1
126	1
130.5	1
135	1
141	1
145.5	1
150	1
154.5	1
157.5	1
160.5	1
166.5	1
172.5	1
175.5	1
180	1
186	1
190.5	1
195	1
198	1
204	1
207	1
211.5	1
214.5	1
217.5	1
223.5	1
228	1
231	1
234	1
238.5	1
243	1
247.5	1
253.5	1
256.5	1
262.5	1
267	1
271.5	1
277.5	1
280.5	1
285	1
288	1
291	1
295.5	1
298.5	1
303	1
309	1
313.5	1
318	1
321	1
324	1
327	1
333	1
339	1
343.5	1
349.5	1
352.5	1
357	1
