onset	 duration
7.5	1
10.5	1
16.5	1
19.5	1
22.5	1
25.5	1
31.5	1
36	1
42	1
45	1
48	1
52.5	1
58.5	1
64.5	1
67.5	1
70.5	1
75	1
78	1
82.5	1
87	1
93	1
97.5	1
102	1
106.5	1
112.5	1
115.5	1
121.5	1
124.5	1
127.5	1
132	1
135	1
139.5	1
145.5	1
150	1
154.5	1
159	1
162	1
165	1
169.5	1
174	1
177	1
180	1
186	1
190.5	1
195	1
201	1
207	1
211.5	1
216	1
219	1
222	1
226.5	1
229.5	1
232.5	1
235.5	1
238.5	1
241.5	1
246	1
250.5	1
256.5	1
261	1
264	1
267	1
271.5	1
276	1
279	1
283.5	1
286.5	1
289.5	1
294	1
298.5	1
304.5	1
309	1
315	1
318	1
321	1
325.5	1
330	1
336	1
342	1
346.5	1
352.5	1
355.5	1
358.5	1
