onset	 duration
7.5	1
13.5	1
18	1
21	1
25.5	1
31.5	1
36	1
39	1
43.5	1
49.5	1
55.5	1
58.5	1
61.5	1
64.5	1
69	1
72	1
75	1
81	1
84	1
88.5	1
93	1
96	1
100.5	1
106.5	1
111	1
117	1
123	1
129	1
135	1
139.5	1
142.5	1
145.5	1
148.5	1
151.5	1
156	1
162	1
165	1
171	1
175.5	1
178.5	1
183	1
189	1
193.5	1
196.5	1
202.5	1
205.5	1
211.5	1
214.5	1
219	1
223.5	1
228	1
232.5	1
237	1
241.5	1
244.5	1
249	1
252	1
255	1
261	1
265.5	1
268.5	1
271.5	1
277.5	1
282	1
286.5	1
289.5	1
292.5	1
295.5	1
298.5	1
301.5	1
306	1
310.5	1
313.5	1
318	1
321	1
324	1
327	1
333	1
337.5	1
342	1
346.5	1
351	1
355.5	1
360	1
