onset	duration
7.5	1
10.5	1
13.5	1
16.5	1
21	1
24	1
27	1
33	1
36	1
40.5	1
43.5	1
46.5	1
52.5	1
58.5	1
63	1
66	1
70.5	1
73.5	1
78	1
81	1
85.5	1
88.5	1
91.5	1
94.5	1
100.5	1
106.5	1
112.5	1
115.5	1
121.5	1
124.5	1
129	1
132	1
135	1
139.5	1
142.5	1
147	1
150	1
156	1
160.5	1
166.5	1
172.5	1
177	1
181.5	1
186	1
190.5	1
193.5	1
199.5	1
204	1
208.5	1
211.5	1
214.5	1
217.5	1
222	1
225	1
231	1
235.5	1
240	1
243	1
247.5	1
250.5	1
255	1
259.5	1
264	1
268.5	1
274.5	1
277.5	1
280.5	1
283.5	1
286.5	1
289.5	1
294	1
298.5	1
303	1
309	1
315	1
319.5	1
325.5	1
328.5	1
334.5	1
339	1
343.5	1
348	1
352.5	1
358.5	1
