onset	duration
7.5	1
12	1
15	1
18	1
22.5	1
25.5	1
28.5	1
34.5	1
39	1
42	1
48	1
52.5	1
58.5	1
61.5	1
64.5	1
67.5	1
72	1
75	1
79.5	1
84	1
88.5	1
91.5	1
94.5	1
97.5	1
100.5	1
103.5	1
108	1
114	1
117	1
120	1
123	1
126	1
130.5	1
135	1
141	1
144	1
148.5	1
153	1
157.5	1
162	1
166.5	1
171	1
175.5	1
181.5	1
184.5	1
187.5	1
190.5	1
195	1
199.5	1
205.5	1
208.5	1
214.5	1
217.5	1
222	1
228	1
231	1
235.5	1
240	1
244.5	1
249	1
255	1
258	1
262.5	1
265.5	1
270	1
276	1
282	1
285	1
291	1
297	1
303	1
307.5	1
310.5	1
313.5	1
316.5	1
321	1
325.5	1
328.5	1
331.5	1
337.5	1
343.5	1
348	1
352.5	1
358.5	1
