onset	duration
7.5	1
12	1
16.5	1
19.5	1
24	1
30	1
33	1
37.5	1
42	1
45	1
48	1
51	1
57	1
60	1
64.5	1
70.5	1
73.5	1
76.5	1
82.5	1
85.5	1
90	1
93	1
99	1
103.5	1
106.5	1
109.5	1
112.5	1
118.5	1
123	1
126	1
129	1
135	1
141	1
145.5	1
150	1
153	1
156	1
160.5	1
165	1
169.5	1
172.5	1
178.5	1
183	1
189	1
192	1
196.5	1
199.5	1
204	1
208.5	1
214.5	1
219	1
223.5	1
229.5	1
234	1
238.5	1
243	1
247.5	1
253.5	1
256.5	1
259.5	1
262.5	1
265.5	1
268.5	1
273	1
279	1
283.5	1
286.5	1
291	1
295.5	1
300	1
303	1
306	1
312	1
316.5	1
321	1
324	1
330	1
333	1
339	1
343.5	1
346.5	1
352.5	1
355.5	1
358.5	1
