onset	 duration
7.5	1
12	1
18	1
22.5	1
25.5	1
30	1
33	1
39	1
42	1
46.5	1
49.5	1
52.5	1
57	1
61.5	1
64.5	1
69	1
72	1
75	1
78	1
84	1
88.5	1
94.5	1
97.5	1
100.5	1
105	1
111	1
117	1
123	1
126	1
130.5	1
133.5	1
138	1
141	1
145.5	1
148.5	1
153	1
159	1
162	1
165	1
169.5	1
172.5	1
177	1
181.5	1
186	1
190.5	1
193.5	1
196.5	1
201	1
205.5	1
210	1
216	1
220.5	1
223.5	1
228	1
232.5	1
235.5	1
240	1
244.5	1
247.5	1
252	1
255	1
259.5	1
262.5	1
268.5	1
271.5	1
274.5	1
280.5	1
283.5	1
288	1
291	1
294	1
297	1
301.5	1
304.5	1
310.5	1
316.5	1
322.5	1
328.5	1
334.5	1
339	1
345	1
349.5	1
355.5	1
358.5	1
