onset	 duration
7.5	1
13.5	1
18	1
22.5	1
25.5	1
30	1
34.5	1
39	1
43.5	1
49.5	1
52.5	1
55.5	1
58.5	1
61.5	1
67.5	1
73.5	1
78	1
81	1
87	1
91.5	1
94.5	1
100.5	1
106.5	1
109.5	1
114	1
118.5	1
121.5	1
126	1
129	1
133.5	1
138	1
142.5	1
145.5	1
151.5	1
157.5	1
163.5	1
169.5	1
172.5	1
175.5	1
180	1
186	1
189	1
195	1
199.5	1
205.5	1
210	1
216	1
220.5	1
223.5	1
226.5	1
229.5	1
232.5	1
237	1
241.5	1
244.5	1
247.5	1
252	1
255	1
259.5	1
262.5	1
267	1
270	1
274.5	1
279	1
283.5	1
286.5	1
289.5	1
294	1
297	1
300	1
303	1
307.5	1
310.5	1
316.5	1
321	1
324	1
327	1
330	1
334.5	1
340.5	1
346.5	1
351	1
355.5	1
358.5	1
