onset	duration
7.5	1
10.5	1
13.5	1
19.5	1
24	1
28.5	1
31.5	1
34.5	1
37.5	1
40.5	1
46.5	1
51	1
55.5	1
60	1
63	1
66	1
69	1
73.5	1
78	1
81	1
84	1
87	1
91.5	1
94.5	1
99	1
103.5	1
109.5	1
114	1
118.5	1
123	1
127.5	1
130.5	1
135	1
138	1
144	1
150	1
154.5	1
160.5	1
163.5	1
169.5	1
174	1
177	1
183	1
189	1
192	1
195	1
198	1
202.5	1
207	1
211.5	1
214.5	1
217.5	1
222	1
226.5	1
231	1
235.5	1
240	1
246	1
250.5	1
253.5	1
259.5	1
262.5	1
268.5	1
271.5	1
276	1
279	1
282	1
286.5	1
291	1
294	1
298.5	1
304.5	1
310.5	1
315	1
318	1
324	1
328.5	1
333	1
336	1
339	1
342	1
348	1
354	1
360	1
