onset	 duration
7.5	1
13.5	1
18	1
22.5	1
27	1
31.5	1
34.5	1
37.5	1
40.5	1
45	1
49.5	1
54	1
57	1
60	1
63	1
67.5	1
73.5	1
79.5	1
84	1
87	1
90	1
96	1
102	1
106.5	1
109.5	1
112.5	1
117	1
123	1
129	1
135	1
139.5	1
142.5	1
145.5	1
148.5	1
154.5	1
159	1
162	1
165	1
171	1
175.5	1
180	1
186	1
189	1
193.5	1
196.5	1
201	1
207	1
210	1
213	1
216	1
222	1
225	1
229.5	1
234	1
237	1
243	1
247.5	1
252	1
256.5	1
262.5	1
265.5	1
268.5	1
273	1
277.5	1
282	1
286.5	1
292.5	1
298.5	1
301.5	1
304.5	1
307.5	1
313.5	1
316.5	1
321	1
325.5	1
330	1
334.5	1
337.5	1
340.5	1
345	1
349.5	1
352.5	1
357	1
360	1
