onset	 duration
7.5	1
12	1
16.5	1
19.5	1
24	1
28.5	1
34.5	1
40.5	1
46.5	1
51	1
57	1
61.5	1
66	1
69	1
72	1
75	1
79.5	1
84	1
90	1
93	1
96	1
99	1
105	1
108	1
114	1
117	1
121.5	1
127.5	1
132	1
135	1
138	1
142.5	1
147	1
151.5	1
154.5	1
159	1
162	1
165	1
171	1
175.5	1
180	1
183	1
186	1
190.5	1
193.5	1
198	1
204	1
208.5	1
211.5	1
216	1
219	1
223.5	1
226.5	1
229.5	1
232.5	1
238.5	1
243	1
246	1
249	1
252	1
255	1
259.5	1
264	1
268.5	1
271.5	1
274.5	1
279	1
285	1
289.5	1
295.5	1
300	1
306	1
309	1
315	1
319.5	1
325.5	1
328.5	1
331.5	1
336	1
339	1
345	1
351	1
355.5	1
360	1
