onset	duration
7.5	1
10.5	1
13.5	1
19.5	1
22.5	1
25.5	1
30	1
36	1
39	1
42	1
46.5	1
49.5	1
52.5	1
57	1
61.5	1
66	1
69	1
73.5	1
79.5	1
82.5	1
88.5	1
91.5	1
94.5	1
99	1
103.5	1
109.5	1
114	1
117	1
123	1
126	1
129	1
133.5	1
138	1
142.5	1
148.5	1
153	1
159	1
165	1
169.5	1
174	1
178.5	1
181.5	1
184.5	1
187.5	1
190.5	1
195	1
201	1
204	1
207	1
211.5	1
214.5	1
217.5	1
223.5	1
228	1
232.5	1
237	1
241.5	1
244.5	1
250.5	1
253.5	1
258	1
261	1
264	1
268.5	1
274.5	1
279	1
283.5	1
286.5	1
289.5	1
294	1
297	1
303	1
309	1
313.5	1
318	1
324	1
327	1
333	1
337.5	1
343.5	1
348	1
352.5	1
355.5	1
358.5	1
