onset	duration
7.5	1
13.5	1
16.5	1
22.5	1
25.5	1
28.5	1
31.5	1
36	1
40.5	1
43.5	1
46.5	1
51	1
55.5	1
60	1
63	1
67.5	1
70.5	1
75	1
78	1
84	1
90	1
96	1
99	1
102	1
106.5	1
109.5	1
114	1
117	1
121.5	1
124.5	1
129	1
133.5	1
139.5	1
144	1
148.5	1
154.5	1
160.5	1
163.5	1
168	1
172.5	1
177	1
183	1
189	1
192	1
196.5	1
201	1
205.5	1
210	1
213	1
216	1
219	1
223.5	1
226.5	1
232.5	1
235.5	1
238.5	1
241.5	1
246	1
252	1
255	1
259.5	1
264	1
270	1
274.5	1
277.5	1
280.5	1
283.5	1
288	1
292.5	1
295.5	1
301.5	1
304.5	1
307.5	1
312	1
318	1
322.5	1
327	1
333	1
339	1
342	1
348	1
351	1
355.5	1
360	1
