onset	duration
7.5	1
10.5	1
15	1
18	1
21	1
24	1
28.5	1
31.5	1
36	1
40.5	1
43.5	1
48	1
54	1
58.5	1
61.5	1
67.5	1
72	1
75	1
78	1
81	1
87	1
91.5	1
96	1
100.5	1
103.5	1
109.5	1
115.5	1
120	1
123	1
126	1
129	1
132	1
135	1
138	1
144	1
148.5	1
154.5	1
159	1
162	1
168	1
171	1
175.5	1
181.5	1
186	1
189	1
192	1
196.5	1
201	1
205.5	1
211.5	1
216	1
222	1
228	1
232.5	1
237	1
240	1
244.5	1
249	1
253.5	1
256.5	1
262.5	1
267	1
271.5	1
274.5	1
279	1
285	1
291	1
295.5	1
301.5	1
306	1
310.5	1
315	1
318	1
321	1
324	1
330	1
333	1
336	1
340.5	1
343.5	1
346.5	1
349.5	1
355.5	1
358.5	1
