onset	 duration
7.5	1
12	1
16.5	1
19.5	1
22.5	1
25.5	1
30	1
34.5	1
37.5	1
43.5	1
46.5	1
51	1
55.5	1
61.5	1
64.5	1
67.5	1
72	1
78	1
84	1
87	1
91.5	1
94.5	1
99	1
105	1
108	1
111	1
115.5	1
121.5	1
127.5	1
130.5	1
135	1
139.5	1
142.5	1
147	1
150	1
153	1
157.5	1
160.5	1
166.5	1
171	1
175.5	1
180	1
184.5	1
187.5	1
190.5	1
193.5	1
196.5	1
199.5	1
202.5	1
207	1
211.5	1
216	1
219	1
223.5	1
228	1
234	1
238.5	1
244.5	1
250.5	1
256.5	1
259.5	1
264	1
267	1
271.5	1
276	1
282	1
286.5	1
289.5	1
295.5	1
298.5	1
301.5	1
307.5	1
312	1
316.5	1
319.5	1
324	1
330	1
336	1
342	1
345	1
348	1
352.5	1
355.5	1
358.5	1
