onset	 duration
7.5	1
10.5	1
15	1
18	1
24	1
27	1
30	1
33	1
39	1
42	1
45	1
48	1
52.5	1
58.5	1
64.5	1
70.5	1
73.5	1
78	1
81	1
87	1
91.5	1
94.5	1
97.5	1
102	1
105	1
109.5	1
112.5	1
117	1
120	1
124.5	1
127.5	1
132	1
136.5	1
141	1
144.1	1
148.5	1
154.5	1
157.5	1
162	1
165	1
171	1
177	1
180	1
183	1
187.5	1
192	1
195	1
198	1
204	1
208.5	1
211.5	1
214.5	1
220.5	1
226.5	1
232.5	1
237	1
241.5	1
244.5	1
249	1
253.5	1
258	1
264	1
270	1
274.5	1
277.5	1
282	1
286.5	1
291	1
294	1
298.5	1
303	1
309	1
313.5	1
316.5	1
321	1
325.5	1
328.5	1
333	1
339	1
342	1
348	1
351	1
355.5	1
358.5	1
