onset	 duration
7.5	1
12	1
15	1
18	1
22.5	1
27	1
30	1
36	1
39	1
43.5	1
48	1
51	1
55.5	1
60	1
64.5	1
67.5	1
72	1
75	1
81	1
84	1
88.5	1
93	1
97.5	1
100.5	1
106.5	1
111	1
114	1
118.5	1
123	1
129	1
132	1
136.5	1
139.5	1
142.5	1
147	1
153	1
157.5	1
160.5	1
165	1
171	1
175.5	1
181.5	1
186	1
189	1
192	1
195	1
199.5	1
205.5	1
208.5	1
213	1
216	1
222	1
228	1
231	1
235.5	1
241.4	1
244.4	1
247.4	1
251.9	1
257.9	1
260.9	1
263.9	1
268.4	1
272.9	1
278.9	1
284.9	1
290.9	1
293.9	1
296.9	1
302.9	1
305.9	1
308.9	1
314.9	1
317.9	1
322.4	1
325.4	1
329.9	1
334.4	1
338.9	1
343.4	1
346.4	1
349.4	1
352.4	1
357	1
