onset	 duration
7.5	1
12	1
15	1
18	1
22.5	1
27	1
31.5	1
36	1
40.5	1
43.5	1
48	1
52.5	1
58.5	1
63	1
66	1
70.5	1
76.5	1
79.5	1
82.5	1
88.5	1
93	1
97.5	1
100.5	1
103.5	1
106.5	1
109.5	1
114	1
118.5	1
124.5	1
127.5	1
133.5	1
139.5	1
142.5	1
148.5	1
154.5	1
157.5	1
160.5	1
165	1
171	1
177	1
183	1
189	1
193.5	1
196.5	1
199.5	1
202.5	1
207	1
211.5	1
214.5	1
219	1
222	1
226.5	1
229.5	1
234	1
237	1
241.5	1
247.5	1
252	1
256.5	1
259.5	1
262.5	1
267	1
271.5	1
274.5	1
280.5	1
285	1
291	1
297	1
300	1
303	1
307.5	1
310.5	1
315	1
318	1
321	1
325.5	1
328.5	1
331.5	1
337.5	1
342	1
345	1
348	1
352.5	1
357	1
