onset	duration
7.5	1
12	1
16.5	1
21	1
27	1
30	1
36	1
40.5	1
46.5	1
51	1
57	1
61.5	1
64.5	1
69	1
75	1
79.5	1
84	1
87	1
91.5	1
94.5	1
97.5	1
103.5	1
106.5	1
112.5	1
115.5	1
120	1
124.5	1
129	1
132	1
135	1
141	1
144	1
147	1
150	1
156	1
160.5	1
166.5	1
169.5	1
174	1
177	1
180	1
186	1
189	1
193.5	1
196.5	1
199.5	1
202.5	1
205.5	1
211.5	1
214.5	1
219	1
225	1
228	1
231	1
234	1
237	1
241.5	1
247.5	1
252	1
256.5	1
259.5	1
262.5	1
268.5	1
271.5	1
274.5	1
279	1
283.5	1
289.5	1
294	1
297	1
301.5	1
306	1
309	1
313.5	1
316.5	1
322.5	1
325.5	1
331.5	1
336	1
340.5	1
345	1
349.5	1
354	1
358.5	1
