onset	 duration
7.5	1
12	1
16.5	1
19.5	1
24	1
28.5	1
31.5	1
34.5	1
40.5	1
46.5	1
52.5	1
55.5	1
58.5	1
63	1
67.5	1
72	1
75	1
78	1
84	1
90	1
93	1
96	1
102	1
108	1
112.5	1
117	1
121.5	1
126	1
130.5	1
133.5	1
138	1
142.5	1
147	1
151.5	1
154.5	1
157.5	1
162	1
166.5	1
169.5	1
172.5	1
178.5	1
183	1
187.5	1
190.5	1
195	1
198	1
202.5	1
205.5	1
210	1
216	1
220.5	1
223.5	1
229.5	1
235.5	1
240	1
244.5	1
250.5	1
253.5	1
256.5	1
261	1
267	1
270	1
273	1
276	1
279	1
285	1
289.5	1
295.5	1
298.5	1
303	1
306	1
309	1
312	1
316.5	1
319.5	1
322.5	1
328.5	1
331.5	1
337.5	1
340.5	1
346.5	1
351	1
355.5	1
360	1
