onset	duration
7.5	1
10.5	1
13.5	1
18	1
22.5	1
28.5	1
31.5	1
36	1
40.5	1
45	1
49.5	1
52.5	1
57	1
61.5	1
67.5	1
70.5	1
73.5	1
76.6	1
79.5	1
82.5	1
87	1
90	1
94.5	1
97.5	1
103.5	1
106.5	1
109.5	1
112.5	1
117	1
121.5	1
124.5	1
130.5	1
136.5	1
139.5	1
142.5	1
148.5	1
153	1
159	1
162	1
166.5	1
169.5	1
174	1
178.5	1
183	1
189	1
192	1
196.5	1
201	1
207	1
213	1
219	1
222	1
225	1
228	1
234	1
238.5	1
244.5	1
249	1
252	1
256.5	1
262.5	1
267	1
271.5	1
277.5	1
282	1
285	1
291	1
295.5	1
298.5	1
303	1
307.5	1
312	1
316.5	1
319.5	1
325.5	1
328.5	1
334.5	1
337.5	1
342	1
345	1
348	1
352.5	1
355.5	1
360	1
