onset	 duration
7.5	1
13.5	1
16.5	1
22.5	1
27	1
31.5	1
37.5	1
42	1
48	1
52.5	1
55.5	1
61.5	1
66	1
69	1
72	1
78	1
82.5	1
87	1
91.5	1
94.5	1
99	1
103.5	1
108	1
111	1
115.5	1
118.5	1
121.5	1
126	1
129	1
132	1
136.5	1
142.5	1
145.5	1
151.5	1
156	1
160.5	1
165	1
168	1
172.5	1
178.5	1
183	1
189	1
193.5	1
198	1
201	1
204	1
207	1
211.5	1
216	1
219	1
225	1
229.5	1
232.5	1
237	1
240	1
243	1
247.5	1
253.5	1
259.5	1
262.5	1
265.5	1
271.5	1
276	1
282	1
286.5	1
289.5	1
292.5	1
298.5	1
301.5	1
304.5	1
307.5	1
310.5	1
315	1
318	1
322.5	1
325.5	1
330	1
333	1
336	1
340.5	1
343.5	1
346.5	1
351	1
357	1
