onset	 duration
7.5	1
10.5	1
13.5	1
16.5	1
22.5	1
25.5	1
31.5	1
36	1
42	1
45	1
48	1
52.5	1
58.5	1
61.5	1
66	1
70.5	1
76.5	1
81	1
87	1
90	1
94.5	1
97.5	1
100.5	1
106.5	1
111	1
117	1
121.5	1
124.5	1
127.5	1
132	1
136.5	1
141	1
145.5	1
148.5	1
154.5	1
160.5	1
163.5	1
169.5	1
175.5	1
180	1
183	1
189	1
193.5	1
196.5	1
199.5	1
204	1
208.5	1
211.5	1
216	1
222	1
226.5	1
229.5	1
235.5	1
238.5	1
243	1
246	1
249	1
253.5	1
256.5	1
261	1
267	1
271.5	1
276	1
280.5	1
283.5	1
286.5	1
291	1
297	1
300	1
304.5	1
307.5	1
310.5	1
313.5	1
318	1
322.5	1
328.5	1
333	1
337.5	1
340.5	1
343.5	1
346.5	1
351	1
354	1
358.5	1
